,C00,C11,C22,C33,C44,C55,C01,C02,C12
(omega^2)_47,-0.02533641324456329,1.1415673698653255,1.3354575121580146,1.2671100280884628,1.424750920474093,2.2010587082485773,1.4970127416737948,1.0076575929665288,1.320103494321702
(omega^2)_48,-0.6353698569655042,-2.2274371829867605,-1.6251238362533529,-1.3746228442262722,-1.858486705683803,-2.6341415250411897,-1.8562334630337443,-0.8832206218273564,-1.201446147005721
(omega^2)_49,0.4538907288109335,1.1319018760661617,0.09372573679981087,-0.7642694044149368,-0.487168411058796,-0.6230178886571034,0.2856272272385214,0.05328752498240141,0.44085082130166325
(omega^2)_50,-0.640230414109216,-1.6269959365772662,0.11090205909799425,0.8924178309605448,1.19074739249604,1.2060764944408677,0.7754599786390265,-0.07474653795421374,-0.4369350040713136
(omega^2)_51,-0.4836549220333973,0.4686899420947506,0.2927205191887008,0.9634517895821306,1.057759237906903,1.018452349843233,-1.8939309390899208,-1.1439755667741625,-1.28967958915709
(omega^2)_52,-0.6725374326428697,-0.8838570001713322,-1.3665228188128307,-0.9070357598887695,-0.7892774267086659,-0.47598955646953245,-0.003602392361702955,-0.06837091564447229,0.26107157926016533
(omega^2)_53,2.274437431279376,3.5417285957662994,3.411140732620074,3.9448210748323445,3.6312172362951842,4.356279652997672,0.8395099933019818,0.7150893689966319,0.8210563337457343
(omega^2)_54,-3.5341854350490265,-4.298315960420533,-4.888498181669012,-4.934146378169715,-5.139802179015779,-6.433339992561411,-2.293025996301458,-3.2029288312714472,-3.368259439205276
(omega^2)_55,2.3227468369985482,2.2923040792212444,3.4784607748897582,2.396218829785676,2.1611523659679417,3.424591938911605,3.1982478719661875,3.9915017578872676,3.8759393782028964
(omega^2)_56,0.5532887162414495,0.2403589422709853,-0.16825280469698417,-0.13114897913644963,0.24359476685062337,-0.5412552655924916,0.5171546198147163,0.3823385047158815,0.4149322379973768
(omega^2)_57,-0.7570306595467613,-1.1190901489526979,-0.3091898179159115,-3.350458961295218,-3.6795719902303574,-2.927189714772178,0.7305683510305448,0.6176598496314789,0.9645909551165083
(omega^2)_58,1.6243584669582831,1.8851553528954144,1.6965505635671465,4.85286275907659,5.048558870805368,4.45834772442047,-0.6151430254735488,-0.02106961055950421,-0.42373265851013575
(omega^2)_59,-0.03470455234199149,-0.12648386094610206,-2.0993855887707764,-0.6558661686388282,-0.602425438530782,-0.5873286534390245,-0.7098005350920631,-0.28133432635027644,-0.2206279745333154
(omega^2)_60,-1.4363990556759547,-1.4553236661287816,0.22483846501129046,-1.4546347251325362,-1.808647772819784,-1.0215248954693115,-0.4178407154913798,-0.5013864155477596,-0.3742114005673083
(omega^2)_61,1.9393862319214938,2.7539769887739705,2.6669445058833356,2.8409270691333948,2.4958527177642473,1.7478494231455668,2.2473164607711786,1.4552784164056465,1.2654335859885235
(omega^2)_62,-2.7509807411117806,-3.352049525574859,-2.256411134869198,-3.2294951019306892,-2.4251703693132125,-1.9141112739494983,-2.0617844697603163,-1.9638554583739498,-1.983774947902913
(omega^2)_63,1.4899403979242118,2.2183884569148447,0.2501087072064717,-1.4080581972010533,-1.4349318230545274,-1.158483037963569,0.946663763028764,0.7449644202362107,0.7323053999503777
(omega^2)_64,3.2679543930193558,3.054017649459439,2.746180497431873,4.506698690878082,4.399516218301892,3.3463390045653205,-0.44945572079990365,0.07228610494586252,0.14873331939176904
(omega^2)_65,-1.2949148649002282,-2.237321227702963,-1.6492690210247094,1.6093100643905829,1.3730924736110406,1.6192247541618476,1.1429089892683226,0.6573502084830319,0.8654381854483103
(omega^2)_66,-3.240909929060373,-2.493534550624297,-0.7631236386867496,-2.772288700518443,-2.49154577894845,-2.545169835195277,-1.99940066051369,-1.6276881551490376,-1.8128696872961039
